koryakov_bd_id,eng_vil_name,rus_vil_name,rus_vil_name_mdg,censuses.1885.people,censuses.1895.people,censuses.1926.people,censuses.2010.people,Lat,Lon,Language,Lect,Republic,Region,elevation
131,Zanata,Заната,Заната,200,202,159,198,42.485146,46.552771,Avar,,Daghestan,,1602.92
133,Mochokh,Мочох,Мочох,420,418,372,399,42.63159,46.61242,Avar,,Daghestan,,1638.51
135,Muschuli,Мушули,Мушули,300,294,331,571,42.633706,46.498593,Avar,,Daghestan,,1024.62
137,Nitab,Нитаб,Нитаб,161,164,147,235,42.51925,46.63256,Avar,,Daghestan,,1412.81
139,Datuna,Датуна,Датуна,67,80,75,179,42.47357,46.64364,Avar,,Daghestan,,856.76
141,,Накитль,Накитль,118,130,149,162,,,,,,,
143,Oboda,Обода,Обода,747,734,701,664,42.578542,46.668203,Avar,,Daghestan,,1742.22
145,Orota,Орота,Орота,638,632,669,1679,42.65915,46.53772,Avar,,Daghestan,,1150.51
147,Ochlo,Очло,Очло,226,221,205,572,42.642518,46.64532,Avar,,Daghestan,,1809.27
149,,Тадколо,Тадколо,99,96,94,,,,,,,,
151,Siukh,Сиух,Сиух,763,772,661,278,42.5999,46.54462,Karata,,Daghestan,,1907.66
153,Tanusi,Тануси,Тануси,569,589,511,512,42.58233,46.69233,Avar,,Daghestan,,1938.77
155,Ebuta,Эбута,Эбута,97,108,130,170,42.59275,46.66626,Avar,,Daghestan,,1941.4
157,Tlaylukh,Тлайлух,Тлайлух,163,111,209,375,42.6208,46.52428,Avar,,Daghestan,,1120.2
159,,Карачитль,Карачитль,,,5,,,,,,,,
161,Tekita,Тукита,Текита,111,111,127,165,42.630886,46.521832,Avar,,Daghestan,,1039.27
163,Tsel'mes,Цельмес,Цельмес,229,260,251,378,42.623464,46.538549,Avar,,Daghestan,,1164.96
165,Untsukul',Унцукуль,Унцукуль,2228,2089,2315,6276,42.7131,46.7875,Avar,,Daghestan,,867.3
167,Orkachi,Оркачи,Оркачи,298,298,319,401,42.6058,46.81797,Avar,,Daghestan,,1837.66
169,Verkhniy Aradirikh,Верхний Арадирих,Верхний Арадирих,276,260,267,495,42.67099,46.60372,Avar,,Daghestan,,1882.21
171,Nizhniy Aradirikh,Нижний Арадирих,Нижний Арадирих,156,148,161,309,42.68979,46.568219,Avar,,Daghestan,,1751.46
173,Sredniy Aradirikh,Средний Арадирих,Средний Арадирих,234,235,287,579,42.68121,46.58022,Avar,,Daghestan,,1828.71
175,Kharakhi,Харахи,Харахи,657,699,735,1199,42.6433,46.5211,Avar,,Daghestan,,1162.1
177,Kharachi,Харачи,Харачи,358,382,380,450,42.67744,46.82263,Avar,,Daghestan,,1241.1
179,Kharikolo,Хариколо,Хариколо,306,330,410,342,42.5451,46.80847,Avar,,Daghestan,,1538.46
181,,Куди Магом.,Куди Магом.,,,8,,,,,,,,
183,,Хундари Мархо,Хундари Мархо,,,16,,,,,,,,
185,,Чалучикан,Чалучикан,,,12,,,,,,,,
187,Khimakoro,Химакоро,Химакоро,183,196,161,66,42.590092,46.617523,Avar,,Daghestan,,1803.11
189,,Хиндах,Хиндах,264,1364,266,562,,,,,,,
191,Kolo,Коло,Коло,217,191,214,538,42.65769,46.56607,Avar,,Daghestan,,1000.59
193,Khunzakh,Хунзах,Хунзах,1741,1768,1810,4246,42.5394,46.705,Avar,,Daghestan,,1641.54
195,,Амитль,Амитль,,,71,,,,,,,,
197,,Бакда,Бакда,,,37,,,,,,,,
199,Zaib,Заиб,Заиб,,,56,226,42.489364,46.707472,Avar,,Daghestan,,799.37
201,,Колони,Колони,,,16,,,,,,,,
203,Khini,Хини,Хини,,,245,250,42.52767,46.70496,Avar,,Daghestan,,1308.35
205,Tsatanikh,Цатаних,Цатаних,635,603,431,863,42.667793,46.723937,Avar,,Daghestan,,1779.18
207,,Колоб,Колоб,281,286,249,242,,,,,,,
209,Inkvalita,Инквалита,Инквалита,173,176,135,46,42.69936,46.68833,Avar,,Daghestan,,1519.2
211,Ishtiburi,Иштибури,Иштибури,194,192,196,292,42.679149,46.702701,Avar,,Daghestan,,1649.23
213,Shotota,Шотода,Шотода,229,231,250,360,42.58165,46.57729,Avar,,Daghestan,,1925.6
215,Agvali,Агвали,Агвали,181,183,213,2453,42.541192,46.121798,Chamalal,,Daghestan,,962.58
217,Aknada,Акнада,Акнада,502,503,519,120,42.4024828,46.1693204,Tindi,,Daghestan,,1756.12
217,,Акнада,Акнада,502,503,519,120,,,,,,,
219,Alak,Алак,Алак,665,654,779,2759,42.6092,46.1972,Avar,,Daghestan,,1810.92
221,Angida,Ангида,Ангида,471,426,517,7,42.43279,46.1924,Tindi,,Daghestan,,1881.75
223,Asha,Аща,Аща,187,190,261,,42.450373,46.3334458,Tindi,,Daghestan,,3161.02
225,,Анды,Анды,2787,1703,2281,,,,,,,,
227,,Азалала,Азалала,,,6,,,,,,,,
229,,Ачилу,Ачилу,,,16,,,,,,,,
231,Ashali,Ашали,Ашали,263,286,138,788,42.76963,46.30878,Andi,,Daghestan,,1573.82
233,,Белилетль,Белилетль,,,8,,,,,,,,
235,,Гана,Гана,,,27,,,,,,,,
237,,Лагу,Лагу,,,15,,,,,,,,
239,,Рукотль,Рукотль,,,16,,,,,,,,
241,,Хичиха,Хичиха,,,25,,,,,,,,
243,,Хунтеро,Хунтеро,,,4,,,,,,,,
245,Tsibilta,Цибильта,Цибильта,,,90,47,42.74322,46.24311,Andi,,Daghestan,,1962.24
247,,Цумаль,Цумаль,,,3,,,,,,,,
249,Ansalta,Ансалта,Ансалта,1265,1381,1373,4598,42.6939,46.1147,Avar,,Daghestan,,1103.71
251,Rakhata,Рахата,Рахата,,,373,2911,42.6911,46.1414,Avar,,Daghestan,,1017.46
253,Anchik (Anchikh),Анчик,Анчик,571,664,813,817,42.608098,46.271717,Karata,,Daghestan,,1196.12
255,Tsumali,Цумали,Цумали,,,43,195,42.607619,46.260923,Avar,,Daghestan,,1396.16
257,Argvani,Аргвани,Аргвани,914,958,974,797,42.8128,46.5792,Avar,,Daghestan,,1593.82
259,Archo,Арчо,Арчо,326,299,406,346,42.597691,46.305756,Karata,,Daghestan,,1524.14
261,Assab,Ассаб,Ассаб,946,979,835,1640,42.471596,46.492475,Avar,,Daghestan,,1596.57
263,Botlikh,Ботлих,Ботлих,1105,1041,1253,10787,42.667813,46.221451,Botlikh,,Daghestan,,963.76
265,,Аманы,Аманы,,,41,,,,,,,,
267,Gagatli,Гагатли,Гагатли,1360,1500,1981,3543,42.800361,46.292645,Andi,,Daghestan,,1713.54
269,,Бичила,Бичила,,,20,,,,,,,,
271,Gunkha,Гунха,Гунха,198,214,242,129,42.78968,46.28275,Andi,,Daghestan,,1586.26
273,Zilo,Зило,Зило,569,469,510,1220,42.731394,46.319223,Andi,,Daghestan,,1202.37
275,Gadari,Гадари,Гадари,359,355,306,254,42.807303,46.621237,Avar,,Daghestan,,1272.23
277,Gadiri,Гадири,Гадири,481,547,522,418,42.566265,46.065746,Chamalal,,Daghestan,,1965.58
279,Gachitli,Гачитли,Гачитли,121,117,75,128,42.551361,46.088803,Chamalal,,Daghestan,,1763.31
281,,Идходатль,Идходатль,,,13,,,,,,,,
283,,Цатини,Цатини,,,14,,,,,,,,
285,Verkhnie Gakvari,Верхнее Гаквари,Верхнее Гаквари,,,191,383,42.547874,46.032686,Chamalal,,Daghestan,,1917.33
287,Agvali,Агвали,Агвали,,,72,,42.541192,46.121798,Chamalal,,Daghestan,,962.58
289,,Асали,Асали,,,24,,,,,,,,
291,,Бекахатль,Бекахатль,,,26,,,,,,,,
293,,Бицида,Бицида,,,58,,,,,,,,
295,Gigikh,Гигих,Гигих,,,5,103,42.532529,46.101767,Chamalal,,Daghestan,,1316.26
297,,Исибки,Исибки,,,10,,,,,,,,
299,,Эгдада,Эгдада,,,95,202,,,,,,,
301,,Кабилач,Кабилач,,,8,,,,,,,,
303,,Кирижбай,Кирижбай,,,35,,,,,,,,
305,,Коляда,Коляда,,,12,,,,,,,,
307,,Мачбал,Мачбал,,,42,,,,,,,,
309,,Мухгада,Мухгада,,,12,,,,,,,,
311,Nizhnie Gakvari,Нижние Гаквари,Нижние Гаквари,1179,1303,396,497,42.53602,46.05171,Chamalal,,Daghestan,,1625.31
313,Richaganikh,Ричаганих,Ричаганих,277,324,172,175,42.49724,46.05853,Chamalal,,Daghestan,,1780.74
315,,Сусла,Сусла,,,6,,,,,,,,
317,,Хаутли,Хаутли,,,20,,,,,,,,
319,,Хинч,Хинч,,,131,,,,,,,,
321,,Хувалач,Хувалач,,,22,,,,,,,,
323,Tsidatl',Цидатль,Цидатль,,,93,143,42.51855,46.05795,Chamalal,,Daghestan,,1630.28
325,Tsuydi,Цуйди/Цунди,Цуйди/Цунди,,,72,30,42.52334,46.07182,Chamalal,,Daghestan,,1610.33
327,,Чунаси,Чунаси,,,12,,,,,,,,
329,,Исси,Исси,,,27,,,,,,,,
331,Gigatl',Гигатль,Гигатль,824,496,767,1349,42.58136,46.0964,Chamalal,,Daghestan,,1782.37
333,Batlakhatli,Батлахатли,Батлахатли,,,72,3,42.580364,46.058877,Chamalal,,Daghestan,,1727.36
335,,Калих-3,Калих-3,,,62,,,,,,,,
337,,Инцатли,Инцатли,,,14,,,,,,,,
339,,Цачах,Цачах,,,116,,,,,,,,
341,Gimerso,Гимерсо,Гимерсо,304,253,285,211,42.561489,46.227545,Bagvalal,,Daghestan,,1678.71
343,Godoberi,Годобери,Годобери,887,1147,743,3050,42.6258,46.1189,Godoberi,,Daghestan,,1438.76
345,,Белуха,Белуха,,,4,,,,,,,,
347,,Букуду,Букуду,,,6,,,,,,,,
349,,Ниж. Годобери (часть),Ниж. Годобери (часть),,,172,,,,,,,,
351,,Лудига (часть Годобери),Лудига (часть Годобери),,,52,,,,,,,,
353,,Рахатлы,Рахатлы,,,67,,,,,,,,
355,,Цаху,Цаху,,,2,,,,,,,,
357,,Шахитль,Шахитль,,,4,,,,,,,,
359,Danukh,Данух,Данух,274,220,390,810,42.84282,46.6275,Chechen,,Daghestan,,1691.8
361,Zibirkhali,Зибирхали,Зибирхали,285,279,147,64,42.66833,46.07194,Godoberi,,Daghestan,,1791.06
363,,разв. Белеби,разв. Белеби,,,47,,,,,,,,
365,,Гахибет,Гахибет,,,4,,,,,,,,
367,,Зибиру,Зибиру,,,30,,,,,,,,
369,,Рухуг,Рухуг,,,9,,,,,,,,
371,,Хадникала,Хадникала,,,5,,,,,,,,
373,,Хинхитель,Хинхитель,,,15,,,,,,,,
375,,№ 1,№ 1,,,6,,,,,,,,
377,,№ 2,№ 2,,,8,,,,,,,,
379,Izano,Изано,Изано,412,433,318,1211,42.52735,46.40389,Akhvakh,,Daghestan,,1823.76
381,,Хунди,Хунди,,,46,,,,,,,,
383,Ingerdakh,Ингердах,Ингердах,456,490,531,1065,42.58926,46.398373,Avar,,Daghestan,,1881.92
385,Ingishi,Ингиши,Ингиши,414,454,455,839,42.77477,46.54264,Avar,,Daghestan,,1533.04
387,Verkhnee Inkhelo,Верхнее Инхело,Верхнее Инхело,404,300,41,400,42.62035,46.329732,Karata,,Daghestan,,1356.07
389,,Зиндулла,Зиндулла,,,14,,,,,,,,
391,Mashtada,Маштада,Маштада,,,152,267,42.61362,46.314659,Karata,,Daghestan,,1225.34
393,,Чабакуры,Чабакуры,,,259,,,,,,,,
395,Nizhnee Inkhelo,Нижнее Инхело,Нижнее Инхело,434,436,494,2111,42.645134,46.259367,Karata,,Daghestan,,748.6
397,Verkhnee Inkho,Верхнее Инхо,Верхнее Инхо,399,423,380,1030,42.70659,46.50415,Avar,,Daghestan,,633.35
399,Chitl',Читль,Читль,246,219,230,440,42.722594,46.504009,Avar,,Daghestan,,690.85
401,Nizhnee Inkho,Нижнее Инхо,Нижнее Инхо,558,557,477,1343,42.704518,46.507752,Avar,,Daghestan,,558.64
403,Ichichali,Ичичали,Ичичали,489,484,482,156,42.732617,46.405263,Avar,,Daghestan,,1663.77
405,Karata,Карата,Карата,960,948,1262,4154,42.5942,46.3419,Karata,,Daghestan,,1463.63
407,Rachabulda,Рачабулда,Рачабулда,100,90,145,168,42.617256,46.300014,Karata,,Daghestan,,1307.5
409,Kizhani,Кижани,Кижани,309,314,309,345,42.74031,46.364775,Avar,,Daghestan,,1515.36
411,Kilyatl',Килятль,Килятль,581,519,637,1034,42.704637,46.466046,Avar,,Daghestan,,948.68
413,Kvanada,Кванада,Кванада,846,830,996,1389,42.561478,46.17397,Bagvalal,,Daghestan,,1635.52
415,Kvankhidatli,Кванхидатли,Кванхидатли,546,419,420,921,42.65789,46.271742,Andi,,Daghestan,,714.97
417,Kudiyabroso,Кудиябросо,Кудиябросо,708,700,367,2233,42.541069,46.377932,Akhvakh,,Daghestan,,1566.52
419,,Гоштада,Гоштада,,,90,,,,,,,,
421,,Дамиг,Дамиг,,,76,,,,,,,,
