yid	name	censuses.1885.people	censuses.1895.people	censuses.1926.people	censuses.2010.people
171	Нижний Арадирих	156	148	161	309
1901	Нижний Арши		223	224	550
61	Нижний Батлух	469	571	577	1332
8065	Нижний Джалган				2841
703	Нижний Дженгутай	4733	4314	4552	7517
709	Нижний Ишкарты	631	551	539	1002
823	Нижний Каранай	658	659	462	192
1649	Нижний Каршли	246		67	85
3977	Нижний Катрух	766	784	885	431
8035	Нижний Кегер				211
1017	Нижний Колоб			102	52
8154	Нижний Тогох				212
1775	Нижний Убекимахи	226	243	94	802
8003	Нижний Чиамахи				27
3819	Нижний Чирюрт			263	1508
1467	Никабаркмахи	19	11	15	
4129	Никар	148	125	67	235
4173	Никлида	60	54	55	169
137	Нитаб	161	164	147	235
4209	Нитилсух	41	40	26	257
7116	Ницовкра				451
3285	Ничрас	280	305	403	881
8093	Новая Барша				156
7014	Новая Коса				664
3123	Новая Мака	99	80	28	3704
7089	Новая Серебряковка				763
7069	Ново-Теречное				199
7098	Нововладимирское				776
7173	Новогагатли				4781
7148	Новогеоргиевка				2378
7040	Новогладовка				416
7142	Новодмитриевка				2293
7053	Новое				316
8030	Новое Аргвани				1466
8107	Новое Гадари				797
8068	Новое Каракюре				848
8161	Новое Лидже				555
8146	Новое Мугри				625
8019	Новое Хелетури				648
7004	Новокаре				1394
2043	Новокаякент			246	5127
7084	Новокохановское				845
7087	Новокрестьяновское				966
7117	Новокули				2384
7109	Новолакское				5952
7119	Новомехельта				2611
7086	Новомонастырское				1185
7049	Новонадеждовка				69
7154	Новониколаевка				714
7143	Новоромановка				1236
7209	Новосельское				2939
7174	Новососитли				1786
7110	Новочуртах				3304
8098	Новые Викри				3338
8137	Новый Аул				2757
7073	Новый Бахтемир				41
7022	Новый Бирюзяк				908
8140	Новый Борч				1606
7172	Новый Костек				4523
8217	Новый Кяхулай				9875
7220	Новый Сулак				3424
8055	Новый Уркарах				1099
8012	Новый Усур				911
8176	Новый Фриг				2007
3877	Новый Хушет			43	11368
7043	Новый Чечень				171
8105	Новый Чиркей				5925
4193	Нойрух	77	72	52	218
997	Нукуш	246	255	168	175
7175	Нурадилово				3962
8185	Нуси				58
4285	Нухотколоб	59	44	20	48
1963	Нюгди	493	521	278	1763
3199	Нютюг	690	671	695	1231
143	Обода	747	734	701	664
8044	Обонуб				45
1163	Обох	434	656	408	358
7023	Огузер				872
7058	Октябрьское				349
7211	Октябрьское				2251
7078	Опытно-Мелиоративная Станция				127
899	Орада Чугли	403	470	452	982
7015	Оразгулаул				55
167	Оркачи	298	298	319	401
145	Орота	638	632	669	1679
3203	Орта-Стал	701	655	1052	2842
441	Ортаколо	162	137	80	598
7136	Ортатюбе				1100
3207	Оружба	143	107	203	1840
7213	Османюрт				2597
3899	Остров Чечень			766	212
3967	Оттал	176	182	109	401
861	Охли	1138	1110	1366	1900
147	Очло	226	221	205	572
2091	Падар	292	289	365	2265
3543	Палисма	294	299	211	13
863	Параул	2597	2496	2088	4949
8164	Пенджи				312
7063	Первокизлярское				436
7064	Первомайское				948
7176	Первомайское				1227
8096	Первомайское				8925
7039	Персидское				234
7208	Петраковское				2963
2421	Пилиг	407	406	371	760
2237	Пиляки	189	190	209	29
3291	Пиперкент	365	233	174	226
7155	Плодопитомник				163
7215	Покровское				4123
7160	Привольный				455
7052	Пригородное				485
8135	Приморский				521
7057	Пролетарское				350
3053	Птикент	211	191	174	265
1551	Пурримахи		135	292	77
7206	Пятилетка				1181
1219	Равкватль			91	34
7144	Раздолье				1147
8150	Ракутли				
7153	Рассвет				1215
1165	Ратлуб	735	635	730	958
251	Рахата			373	2911
445	Рацитль	343	360	362	112
407	Рачабулда	100	90	145	168
4685	Ретлоб	47	75	33	170
7101	Речное				369
447	Риквани	687	770	836	769
1169	Ритляб		431	419	94
3217	Рича	653	625	885	1270
313	Ричаганих	277	324	172	175
8092	Родниковый				756
9003	Росно	23	11	0	555
4211	Росноб	34	44	26	284
4175	Роста	39	32	29	74
1083	Росутль			139	78
2075	Рубас	189	186	312	3099
1171	Ругельда	466	503	381	572
2405	Ругудж	367	372	315	812
1185	Ругуджа	2005	1823	1940	1637
3087	Ругун	64	59	92	149
2161	Рука	319	315	365	959
2093	Рукель	1162	1212	1109	2742
999	Рульдаб	426	145	153	37
4021	Рутул	2127	1990	1769	4131
2113	Рушуль	297	316	339	455
443	Рушуха			47	58
7079	Рыбалко				1787
8061	Рыбзавод-51				230
4153	Сабда	38	37	47	5
2087	Сабнова			537	3823
4721	Сагада	321	311	166	340
8100	Сагаси-Дейбук				1989
7177	Садовое				846
3395	Саидкент	298	281	315	1007
3293	Сайтаркент	458	421	347	462
4265	Салда	143	138	96	361
2001	Салик	161	71	236	1766
1191	Салта	995	1123	909	684
3373	Сальян	173	165	192	97
8190	Самилах				1416
3249	Самур			324	3432
2201	Санакари	128	133	178	
8115	Сангар				203
7028	Сангиши				468
4213	Саниорта	109	108	69	290
4287	Санта	47	54	25	43
551	Сантлада	180	209	148	109
513	Санух			47	23
2345	Санчи	606	598	609	1797
7096	Сар-Сар				540
3451	Сараг			78	28
8171	Сараф (Санаторий)				50
3143	Сардаркент	152	147	178	721
4725	Саситли	277	310	163	319
1197	Сачада	309	249	354	145
8057	Сегелер				198
1353	Семгамахи			188	667
8216	Семендер				13677
8187	Сентух				148
1453	Сергокала	250	244	647	8141
7092	Серебряковка				825
2281	Сертиль	149	152	166	399
1085	Сех	2142	2142	197	289
2435	Сика			84	112
4131	Сикар	66	61	47	159
2283	Сикух	144	144	109	199
1045	Силта			155	258
4727	Сильди	337	518	360	210
7214	Симсир				1062
4177	Синида	17	19	19	19
8128	Сираги				602
8160	Сиртич				3978
151	Сиух	763	772	661	278
7178	Сиух				3314
4031	Смугул	759	742	466	540
3317	Советское	397	474	111	4220
7019	Советское				1055
7055	Советское				393
7179	Советское				1364
1193	Согратль	1929	1987	2000	2359
1135	Содаб	114	114	89	72
7180	Солнечное				4499
1179	Сомода	300	210	264	459
173	Средний Арадирих	234	235	287	579
8109	Стальское				5729
7074	Старо-Теречное				442
7221	Старый Бавтугай				1892
449	Старый Сивух	802	882	772	
7088	Степное				496
1553	Субахтымахи			71	18
7070	Судоремонтная Техническая Станция				40
3489	Сукиях	289	308	261	253
3883	Сулак			426	8564
7181	Сулевкент				2666
1797	Сулейбакент	560	563	465	1255
3845	Султан-Янги-Юрт	2005	1501	1200	8578
7132	Сулутюбе				47
3551	Сумбатль	685	731	594	262
1201	Сумета	24	32	48	24
1469	Сумия	209	203	175	148
1819	Сур-Сурбачи	136	114	133	171
2333	Сургия	166	164	229	182
2127	Сурхавкент	45	40	73	42
2169	Сурхачи	400	405	312	452
1937	Сусакент	176	170	136	429
1715	Сутбук	363	359	327	286
7071	Суюткино				100
4083	Сюгут	189	182	129	167
111	Тагада	156	160	185	498
1941	Тагиркент	315	299	158	478
3183	Тагиркент	465	403	172	356
3243	Тагиркент-Казмаляр			504	3004
451	Тад-Магитль	735	331	295	1203
4133	Тадиял	176	140	72	
849	Такалай			15	414
8219	Талги				1582
8199	Талитель				471
7151	Таловка				1507
4215	Талсух	83	84	53	395
969	Талух	190	159	179	95
7016	Тамазатюбе				1719
7017	Тамазатюбе Старое				405
4179	Тамуда	72	63	65	67
465	Тандо	571	564	653	641
8032	Тантари				347
1723	Танты	996	951	916	826
153	Тануси	569	589	511	512
8173	Таратул-Меэр				
3861	Тарки	3331	1802	1983	15356
1555	Тарланкак			157	27
1709	Тарлимахи		115	73	151
7138	Тарумовка				5373
467	Тасута	240	275	347	369
3055	Татарханкент	523	470	545	143
7005	Татаюрт				2366
2195	Татиль	181	181	361	1128
2097	Татляр	341	342	440	1510
1725	Ташкапур	475	495	533	1417
1729	Тебекмахи	541	542	831	2274
4001	Текипиркент	322	324	208	284
161	Текита	111	111	127	165
1505	Телагу	214	249	287	215
1205	Телетль	1686	1824	1650	3552
7217	Темираул				3770
3839	Темиргое			83	1916
515	Тенла			82	65
7121	Терекли-Мектеб				7964
7182	Теречное				1622
8202	Терутли				215
1221	Тидиб	604	616	667	1089
4155	Тиланиб	52	48	25	4
4115	Тилутль	42	258	55	346
471	Тинди	1678	2050	386	2309
3273	Тинит	205	201	300	1385
4181	Тинчуда	84	101	67	211
519	Тисси	204	225	331	576
517	Тисси-Ахитли			56	446
8165	Тихаб				
157	Тлайлух	163	111	209	375
8151	Тлезда				152
8195	Тленхори				507
535	Тлибишо	287	296	250	939
537	Тлиси	99	97	149	210
4195	Тлобзода	44	41	25	76
1087	Тлогоб			140	216
539	Тлондода	532	485	559	466
541	Тлох	1078	1383	945	2741
4219	Тлядал		644	101	540
4231	Тлянада	197	209	137	487
543	Тлянуб	464	594	494	229
545	Тлярата	318	343	318	582
4117	Тлярата	213	238	208	1199
1003	Тляробазутль	184	174	128	95
967	Тлярош	486	713	556	410
1223	Тлях	221	229	170	318
4729	Тляцуда	160	173	91	303
7184	Тотурбийкала				2841
4291	Тох	70	66	50	136
8167	Тох-Орда				194
4217	Тохота	268	258	176	621
3281	Тпиг	820	712	888	2730
2373	Трисанчи	560	575	609	1521
3265	Тркал	485	473	372	25
1677	Тузламахи		156	121	176
547	Тукита	584	643	657	765
7183	Тукита				588
3647	Тулизма	342	332	202	66
41	Тумагари			104	79
2445	Тумеллер	220	222	224	284
1235	Тунзи			263	141
3283	Тураг	676	688	842	1163
2227	Турага	138	137	147	56
1821	Туракаримахи	80	68	51	141
8117	Турзин				415
3279	Туруф	501	448	443	388
3587	Турци	100	100	75	38
7018	Туршунай				1241
7191	Тутлар				509
7111	Тухчар				3569
7024	Тушиловка				717
8130	Тюбе				5849
3531	Убра	419	455	428	44
8205	Удок				151
113	Уздалросо	161	184	232	872
1359	Узнимахи	208	229	91	910
1471	Узралмахи	52	49	53	104
7137	Уй-Салган				334
4109	Укал	136	132	96	481
7095	Украинское				209
3037	Укуз	126	143	189	35
9035	Улехани Махи		46	0	482
2029	Уллу-Теркеме	159	152	298	1597
1793	Уллуая	1376	1249	1290	5961
3707	Уллубийаул	2134	2178	1246	3668
3289	Уллугатаг	653	581	542	633
1611	Уллукимахи			109	276
1801	Уллучара	839	754	743	391
2137	Улуз	166	166	209	403
4267	Ульгеб	64	65	53	212
8046	Умайласулазда				17
7199	Умаротар				307
7197	Умашаул				1454
4097	Уна	77	77	87	
1189	Ункида			57	432
1285	Унты	264	279	256	384
165	Унцукуль	2228	2089	2315	6276
3557	Унчукатль	1062	1061	788	453
1875	Ураги	334	326	305	318
1209	Урада	1338	1383	1117	2332
1213	Урадаколоб			16	8
8045	Урала				63
1807	Урари	691	496	472	846
1831	Урахи	2768	1573	1476	671
3297	Урга	148	154	163	270
1897	Ургани	273	258	232	406
1361	Ургубамахи	1045		243	1071
8200	Ургула				202
1679	Уржагимахи	126	130	111	129
2139	Урзиг	170	156	180	348
3563	Ури	365	379	311	152
1229	Уриб	616	635	702	587
2381	Уркарах	1978	1962	2376	4392
1823	Уркутамахи-1		52	77	161
1825	Уркутамахи-2	109	60	73	185
867	Урма	1152	1250	1432	3861
3421	Урсун	118	165	186	87
3173	Уртиль	86	84	136	158
975	Урух-Сота	175	168	193	151
1827	Урхнища		143	156	291
1655	Урхулакар	95	86	64	89
1363	Урхучимахи	285	211	397	2290
1721	Урцаки	511	521	504	299
33	Урчиаб			75	
1175	Урчух	171	175	183	127
2385	Усемикент	637	618	591	1996
1879	Усиша	2745	2708	2632	3931
3039	Усуг	404	418	405	314
3975	Усухчай			154	1881
2389	Утамыш	2678	2485	2015	3631
1269	Утлух	93	97	110	88
4043	Ухул	1110	1112	473	222
7006	Уцмиюрт				3539
1657	Уцулимахи	161	128	97	160
813	Учкент			26	3699
2115	Ушнюг	176	187	236	272
4049	Фий	1464	1469	916	1709
8133	Филя				2402
2117	Фиргиль	147	175	236	397
3049	Фите	232	227	343	754
3305	Фурдаг	156	166	201	202
4027	Фучух			36	3
1851	Хабкаймахи		93	138	81
2163	Хадаги	131	124	155	182
4293	Хадаколоб	23	27	12	263
1883	Хаджалмахи	1647	1750	1698	6188
1919	Хаджалте		132	157	28
4135	Хадиял	159	166	109	302
8002	Хажнимахи				140
8063	Хазар				4810
2391	Халаг	420	468	380	674
4771	Халах	52	59	17	32
871	Халимбекаул	979	841	1100	5011
523	Халих			32	48
7185	Хамавюрт				3180
1097	Хамагиб			56	71
4731	Хамаитли	133	148	89	22
1019	Хамакал			51	122
7007	Хамаматюрт				4684
4119	Хамар	219	212	92	181
2403	Ханаг	263	297	283	627
2287	Ханак	131	141	123	277
573	Хандо			18	35
4295	Хантаколоб	51	49	9	
1615	Ханцкаркамахи			197	175
2179	Хапиль	258	279	328	1031
2143	Хараг	193	189	177	499
4299	Харада	143	153	38	307
8120	Харазма				122
175	Харахи	657	699	735	1199
177	Харачи	358	382	380	450
2409	Харбук	1646	1714	1448	1528
8008	Хариб				472
179	Хариколо	306	330	410	342
2317	Хархни	72	80	81	101
7224	Хасавюрт				131065
1935	Хасакент	338	343	289	360
7020	Хасанай				1014
1885	Хахита	700	676	623	1164
1103	Хацуноб			81	62
8188	Хачта				360
4123	Хашархота	258	289	111	509
4699	Хвайни	128	146	77	258
1237	Хварада			139	41
1233	Хвартикуни		603	637	1322
549	Хварши	538	525	281	335
3221	Хвередж	186	204	210	240
4717	Хебатли	66	163	102	399
8148	Хебда				2551
1099	Хебдиб (Хебдит)			35	33
1557	Хебрела-Эла		137	77	3
555	Хелетури	410	445	580	721
2413	Хели	171	180	438	574
8047	Хенда				41
8251	Хенклакар				307
4741	Хенох	129	37	28	18
4743	Хетох	61	78	32	42
4773	Хибиятль	140	67	28	124
3319	Хив	724	729	844	2659
4201	Хидиб	46	55	44	45
931	Хилих			165	248
187	Химакоро	183	196	161	66
189	Хиндах	264	1364	266	562
1181	Хиндах	129	139	130	124
1239	Хиндах	624	531	509	1172
4157	Хиндах	89	83	60	162
203	Хини			245	250
4297	Хинтида	93	99	39	57
8175	Хинтлимита				34
1005	Хинуб	291	289	280	305
933	Хитаб			157	273
4085	Хиях	158	155	72	56
8011	Хкем				406
4067	Хлют	894	881	787	2069
4057	Хнов	1887	1892	1467	2063
4029	Хнюх	132	137	147	59
4203	Хобох	44	48	52	109
3185	Ходжа-Казмаляр			127	1443
1225	Ходота	386	395	348	924
3485	Хойми	302	330	241	240
3577	Хойхи	763	775	512	379
553	Хонох			65	581
1183	Хонох	215	226	242	117
1187	Хопор			67	45
8207	Хора				19
3323	Хоредж	417	449	640	1080
3335	Хорель			50	1013
1023	Хорода			113	196
4161	Хорода	192	194	180	281
4191	Хорта	30	27	41	66
3601	Хосрех	1631	1733	1521	1629
4183	Хотлоб	109	109	80	150
1251	Хоточ	895	827	633	1173
3423	Хпедж	510	559	533	244
3387	Хпек	424	403	342	227
3425	Хпюк	310	368	397	363
8139	Храх-Уба				413
4063	Хрюг	1525	1488	1117	2240
3027	Хтун	277	253	120	140
3259	Хтун-Казмаляр			229	1511
8089	Хубар				1305
3155	Худиг	286	305	314	670
3475	Худуц	397	510	389	426
1475	Хулабаркмахи	167	156	134	113
3579	Хулисма	514	528	390	312
3583	Хуна	477	456	385	179
2263	Хунгия	205	199	243	364
193	Хунзах	1741	1768	1810	4246
4737	Хунтли	103	96	69	41
4775	Хупри	144	166	87	553
3593	Хури	585	558	412	516
2417	Хурик	877	831	840	2534
3307	Хурсатиль	107	116	136	43
3591	Хурукра	1041	995	503	191
1139	Хурух	336	355	304	87
3595	Хурхи	713	678	512	685
1887	Хуршни	560	540	453	327
2181	Хустиль	208	223	310	593
4777	Хутрах	253	236	89	646
3357	Хутхул	604	670	674	627
3605	Хуты	593	612	470	59
7104	Хуцеевка				945
1263	Хучада	329	330	396	252
2423	Хучни	509	515	384	3232
4749	Хушет	316	408	507	767
557	Хуштада	739	664	813	842
3133	Хюрехюр	311	377	360	356
3341	Хюряк	117	124	202	416
85	Цада	173	189	185	190
8214	Цадах				492
1107	Цалада			126	203
19	Цалкита	102	97	104	108
8048	Цамла				18
2119	Цанак	413	464	468	909
105	Цанатль			83	389
2407	Цантиль	131	136	134	284
205	Цатаних	635	603	431	863
4075	Цахур	983	1000	669	477
8009	Цвакилколо				656
7091	Цветковка				3764
4687	Цебари	139	150	50	341
559	Цекоб	481	536	493	143
163	Цельмес	229	260	251	378
8134	Целягюн				1812
1001	Цемер	147	285	232	209
1141	Ценеб	264	268	208	131
1365	Церхимахи			34	494
4745	Цехок	54	47	34	140
245	Цибильта			90	47
323	Цидатль			93	143
1891	Цизгари	388	350	231	352
561	Цилитль	466	509	521	520
4241	Цимгуда	88	94	44	145
3459	Цирхе	169	172	174	7
4779	Цицимах	49	55	11	57
7186	Цияб Ичичали				2272
8034	Цияб-Цилитли				1052
8010	Цияб-Цолода				1989
3267	Цлак	441	439	418	146
3391	Цмур	598	668	578	625
3397	Цнал	889	939	728	672
3611	Цовкра-1	1406	1436	1025	413
3625	Цовкра-2	500	486	353	419
563	Цолода	409	430	577	535
8203	Цохок				78
1893	Цугни	736	714	539	751
1899	Цудахар	1457	1439	1546	1354
8142	Цудик				399
3321	Цудук	136	134	202	417
325	Цуйди/Цунди			72	30
1265	Цулда	288	319	340	223
1405	Цуликана	389	374	272	264
4753	Цумада	220	292	201	112
4755	Цумада-Урух			41	208
255	Цумали			43	195
4205	Цумилух	187	190	152	997
581	Цунди	210	229	194	368
1367	Цундимахи			139	360
1369	Цунимахи	194	200	225	484
1921	Цураи	421	395	259	190
8215	Цуриб				2231
1617	Цурмахи		227	181	337
2431	Цуртиль	193	194	194	343
1943	Цухта	431	287	273	1557
2109	Цухтыг	259	262	346	653
3629	Цущар	574	550	447	281
3491	Цыйша	533	564	476	384
4751	Цыхалах	87	86	77	57
8204	Чаатли				50
1869	Чабазимахи		140	179	181
8026	Чабанмахи				1083
7187	Чагаротар				1742
8123	Чагни				30
4305	Чадаколоб	221	230	61	230
97	Чалда			103	302
8196	Чало				435
4689	Чалях	37	48	18	106
991	Чанаб	105	113	104	16
1371	Чанкаламахи			135	111
7009	Чанкаюрт				387
565	Чанко	264	351	116	485
8028	Чанкурбе				1210
7112	Чапаево				2386
7118	Чаравали				1219
1111	Чарах			297	
4163	Чарах	91	93	39	30
1271	Чарода			390	439
2347	Чахдикна	158	166	151	217
1563	Чахимахи		26	93	189
2199	Чахрижи	160	161	357	
3263	Чахчах-Казмаляр			198	1928
987	Чвадаб	208	213	151	109
7124	Червленные Буруны				2067
3403	Чере	692	703	841	313
7094	Черняевка				2279
8168	Чилда				116
3201	Чиликар	373	353	406	485
989	Чильдаб	140	155	134	
8067	Чинар				5227
1373	Чинимахи	376	300	206	915
3635	Чираг	914	986	1113	547
577	Чирката	642	639	819	1923
8024	Чиркей				8676
935	Читаб	189	199	190	200
399	Читль	246	219	230	440
3649	Читур	181	179	191	99
2383	Чишили	312	318	380	553
4303	Чодода	188	195	44	138
49	Чондотль	185	199	202	151
8049	Чоноб				28
3893	Чонтаул	1356	1128	944	7021
4253	Чорода	140	151	152	479
1277	Чох	1537	1497	1527	3222
8014	Чубутла				234
8072	Чувалар				96
3111	Чувек	363	86	408	750
3637	Чукна	738	765	649	155
3405	Чулат	420	396	292	1309
2447	Чумли	674	689	728	1874
1925	Чуни	412	405	342	882
1143	Чуниб	109	113	93	34
2145	Чурдаф	175	173	182	444
3639	Чуртах	668	683	571	165
8159	Чухверкент				896
579	Шабдух	228	218	224	145
8197	Шава				1249
7188	Шагада				879
1415	Шадни	159	158	97	297
4757	Шаитли	293	222	177	675
8054	Шаласи				634
1281	Шалиб	464	501	454	171
8172	Шамилькала				4888
3921	Шамхал			57	10883
3913	Шамхал-Термен		178	209	10260
3923	Шамхал-Янгиюрт	876	695	849	1462
3547	Шангода	187	185	175	521
4763	Шапих	120	145	54	301
3599	Шара	723	749	501	714
2203	Шари	313	316	407	19
2355	Шари	188	192	237	83
4747	Шаури	54	58	32	215
7021	Шахбулатотар				14
3535	Шахува	305	318	235	42
8021	Шивор				85
4185	Шидиб	47	38	47	85
4307	Шидиб	84	77	30	204
2231	Шиланша	104	109	99	81
2147	Шиле	152	147	155	208
2261	Шиляги	291	284	297	486
3419	Шимихюр	330	372	398	427
4093	Шиназ	1352	1157	1226	1320
9006	Шинкалабухна		105	0	34
1377	Шинкбалакада			164	18
3549	Шитли	214	234	172	19
3095	Шихикент	481	439	423	964
8122	Шихшака				69
8206	Шия				53
7056	Школьное				735
3643	Шовкра	902	934	679	583
583	Шодрода	453	436	572	807
213	Шотода	229	231	250	360
3427	Штул	1191	1102	793	258
8201	Шугури				282
1929	Шукты	567	570	653	614
1283	Шулани	458	493	436	744
57	Шулатута	56	64	89	
2411	Шулерчи	112	111	154	
7195	Шулькевич				
7135	Шумли-Олик				800
1379	Шумхримахи			120	172
3589	Шуни	260	258	191	31
2239	Шурагат	63	61	80	73
3823	Шушановка			172	1856
7113	Шушия				601
1115	Щубада			14	
1931	Эбдалая	612	589	534	816
155	Эбута	97	108	130	170
299	Эгдада			95	202
1119	Эгеда			33	59
7125	Эдиге				589
3077	Экендиль	183	166	179	473
917	Экибулак			130	111
1449	Элакатмахи		298	323	74
4781	Эльбок	102	106	74	204
8156	Эминхюр				3818
7189	Эндирей				7438
1117	Энсеруда			18	37
903	Эрпели	2548	2929	2440	3415
8073	Эсетар				51
4783	Эчеда	220	227	202	1120
7051	Юбилейное				777
7225	Южно-Сухокумск				10035
7100	Южное				1790
8060	Юный Пахарь				479
2319	Юргулиг	93	101	91	296
7159	Юрковка				1527
3009	Юхари-Архит	323	295	280	419
3069	Юхари-Захит	372	370	325	
3205	Юхари-Стал	574	517	710	1709
3015	Юхари-Ярак	269	264	359	351
2997	Юхарикартас	649	646	511	281
2183	Ягдыг	338	360	354	990
4099	Ялак	911	878	704	593
7114	Ямансу				782
2437	Янгикент	1620	1612	1045	1247
7013	Янгылбай				152
3309	Яраг	92	89	103	
3187	Яраг-Казмаляр			390	2980
8001	Яраймахи				147
3147	Яргиль	477	463	470	38
3059	Яркуг	134	222	273	339
3215	Яруквалар			1387	436
7103	Ясная Поляна				1672
7158	им.М. Горького				282
7120	отделение Сельхозтехника				
7152	разъезд №15				39
