yid	name	censuses.1885.people	censuses.1895.people	censuses.1926.people	censuses.2010.people
1905	Буртанимахи		314	242	300
8078	Буртунай				4033
7041	Бурумбай				214
1605	Бурхимахи		162	171	130
3153	Буршаг	291	289	341	655
3477	Бурши	527	539	413	211
2167	Бускри	686	691	702	686
8166	Бусутли				9
3313	Бутказмаляр			131	3127
3023	Буткент	328	305	205	463
1409	Бутри	1294	1205	1097	1098
1811	Бутулта	81	68	70	40
2393	Бухнаг	91	93	76	195
3481	Бухты	548	580	726	994
67	Буцра	682	675	614	1429
8066	Вавилово				235
717	Ванашимахи			380	283
1843	Ванашимахи	465	434	537	760
2121	Варсит	278	266	235	243
3483	Вачи	809	827	771	816
1987	Великент	967	975	1292	4203
3301	Вертиль	129	135	110	170
285	Верхнее Гаквари			191	383
387	Верхнее Инхело	404	300	41	400
397	Верхнее Инхо	399	423	380	1030
8192	Верхнее Инхоквари				146
725	Верхнее Казанище	2019	1972	2481	6576
1519	Верхнее Лабкомахи	599	618	691	743
1861	Верхнее Махаргимахи	618	334	216	93
4735	Верхнее Хваршини	129	156	160	245
1595	Верхние Мулебки	1421	1419	1157	1446
169	Верхний Арадирих	276	260	267	495
1501	Верхний Арши	362	319	401	993
59	Верхний Батлух	234	239	268	455
701	Верхний Дженгутай	1856	1756	1479	2145
711	Верхний Ишкарты			180	377
1355	Верхний Кавкамахи	749	105	86	452
1387	Верхний Камкамахи			15	75
817	Верхний Каранай	778	850	1161	737
1647	Верхний Каршли		260	140	165
3979	Верхний Катрух	182	207	261	425
1011	Верхний Колоб			159	81
8153	Верхний Тогох				178
1737	Верхний Убекимахи	712	644	411	842
1661	Верхний Чиамахи	172	170	115	78
2427	Вечрик	117	122	113	288
1411	Викри	925	909	834	22
7093	Виноградное				153
3465	Вираты	143	159	129	50
3487	Вихли	1283	1298	1195	1275
4765	Вициятли	69	116	49	178
7045	Вперед				1557
4017	Вруш	187	181	236	29
7083	Выше-Таловка				787
7157	Вышеталовский				320
4235	Гагар	247	248	181	659
267	Гагатли	1360	1500	1981	3543
487	Гадайчи			73	210
275	Гадари	359	355	306	254
277	Гадири	481	547	522	418
3099	Газардкам-Казмаляр			100	378
1065	Газилала			92	12
2213	Газия	171	166	90	386
4691	Гакко	448	480	368	320
